ID_Misi,Kd_Desa,ID_Visi,No_Misi,Uraian_Misi
"12.2009.0101","12.2009.","12.2009.01","01","Meningkatkan Kesejahteraan Aparatur Pemerintah Desa"
"12.2009.0102","12.2009.","12.2009.01","02","Memperbaiki dan Menambah Sarana dan Prasarana untuk Meningkatkan SDM melalui Pendidikan Formal maupun non formal"
