ID_Sasaran,Kd_Desa,ID_Tujuan,No_Sasaran,Uraian_Sasaran
"12.2009.01020101","12.2009.","12.2009.010201","01","Warga Desa Setempat"
"12.2009.01010101","12.2009.","12.2009.010101","01","Aparatur Pemerintah Desa Cigelam"
