KdPosting,Tahun,KURincianSD,Kd_Rincian,RincianSD,Kd_SubRinci,Anggaran,AnggaranPAK,AnggaranStlhPAK,Belanja,Kd_Keg,SumberDana,Kd_Desa,TglPosting
"2","2019","12.2009.01.01.07.5.3.2.02.01PBP","5.3.2.02.","5.3.2.02.PBP","01",1.0400000000000000e+07,0.0000000000000000e+00,1.0400000000000000e+07,"BOP","12.2009.01.01.07.","PBP","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.01.01.905.2.2.05.01ADD","5.2.2.05.","5.2.2.05.ADD","01",1.2000000000000000e+07,0.0000000000000000e+00,1.2000000000000000e+07,"BOP","12.2009.01.01.90","ADD","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.01.01.915.2.2.99.01ADD","5.2.2.99.","5.2.2.99.ADD","01",7.2000000000000000e+07,0.0000000000000000e+00,7.2000000000000000e+07,"BOP","12.2009.01.01.91","ADD","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.01.02.01.5.3.2.02.01PBH","5.3.2.02.","5.3.2.02.PBH","01",4.6000000000000000e+07,0.0000000000000000e+00,4.6000000000000000e+07,"BOP","12.2009.01.02.01.","PBH","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.01.02.01.5.3.2.03.01PBH","5.3.2.03.","5.3.2.03.PBH","01",6.9027998000000000e+07,0.0000000000000000e+00,6.9027998000000000e+07,"BOP","12.2009.01.02.01.","PBH","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.01.02.01.5.3.2.04.01PBH","5.3.2.04.","5.3.2.04.PBH","01",3.1000000000000000e+07,0.0000000000000000e+00,3.1000000000000000e+07,"BOP","12.2009.01.02.01.","PBH","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.01.03.02.5.2.2.01.01DDS","5.2.2.01.","5.2.2.01.DDS","01",1.5000000000000000e+07,0.0000000000000000e+00,1.5000000000000000e+07,"BOP","12.2009.01.03.02.","DDS","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.02.02.02.5.2.2.05.01DDS","5.2.2.05.","5.2.2.05.DDS","01",1.7200000000000000e+07,0.0000000000000000e+00,1.7200000000000000e+07,"BOP","12.2009.02.02.02.","DDS","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.02.02.04.5.3.3.01.01PBH","5.3.3.01.","5.3.3.01.PBH","01",1.2000000000000000e+06,0.0000000000000000e+00,1.2000000000000000e+06,"BOP","12.2009.02.02.04.","PBH","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.02.02.04.5.3.3.02.01PBH","5.3.3.02.","5.3.3.02.PBH","01",1.9988377000000000e+08,0.0000000000000000e+00,1.9988377000000000e+08,"BOP","12.2009.02.02.04.","PBH","12.2009.","12/31/18 00:00:00"
