Tahun,Kd_Desa,Kd_Keg,Kd_Rincian,Kd_SubRinci,No_Urut,SumberDana,Uraian,Satuan,JmlSatuan,HrgSatuan,Anggaran,JmlSatuanPAK,HrgSatuanPAK,AnggaranStlhPAK,AnggaranPAK,Kode_SBU
"2019","12.2009.","12.2009.03.04.90","5.2.2.99.","01","01","ADD","Honorarium Majlis Ulama Indonesia Desa","Paket",1.0000000000000000e+00,2.5000000000000000e+06,2.5000000000000000e+06,1.0000000000000000e+00,2.5000000000000000e+06,2.5000000000000000e+06,0.0000000000000000e+00,
"2019","12.2009.","12.2009.01.01.91","5.2.2.99.","01","01","ADD","Honorarium Anggota Perlindungan Masyarakat (15Org)","OB",1.8000000000000000e+02,4.0000000000000000e+05,7.2000000000000000e+07,1.8000000000000000e+02,4.0000000000000000e+05,7.2000000000000000e+07,0.0000000000000000e+00,
"2019","12.2009.","12.2009.03.02.03.","5.2.1.07.","01","01","PBH","Dongdang","Paket",1.0000000000000000e+00,1.5000000000000000e+06,1.5000000000000000e+06,1.0000000000000000e+00,1.5000000000000000e+06,1.5000000000000000e+06,0.0000000000000000e+00,
"2019","12.2009.","12.2009.03.02.03.","5.2.1.08.","01","01","PBH","Spanduk","Buah",1.0000000000000000e+00,2.5000000000000000e+05,2.5000000000000000e+05,1.0000000000000000e+00,2.5000000000000000e+05,2.5000000000000000e+05,0.0000000000000000e+00,
"2019","12.2009.","12.2009.03.02.03.","5.2.1.08.","01","02","PBH","Umbul-umbul","Buah",5.0000000000000000e+00,1.5000000000000000e+05,7.5000000000000000e+05,5.0000000000000000e+00,1.5000000000000000e+05,7.5000000000000000e+05,0.0000000000000000e+00,
"2019","12.2009.","12.2009.05.03.01.","5.4.1.01.","01","01","PAD","Bantuan Transportasi Orang Sakit","Tahun",1.0000000000000000e+00,1.0000000000000000e+06,1.0000000000000000e+06,1.0000000000000000e+00,1.0000000000000000e+06,1.0000000000000000e+06,0.0000000000000000e+00,
"2019","12.2009.","12.2009.00.00.00.","4.2.4.01.","01","01","PBP","Tunjangan Penghasilan Aparatur Pemerintah Desa","Tahun",1.0000000000000000e+00,1.5000000000000000e+07,1.5000000000000000e+07,1.0000000000000000e+00,1.5000000000000000e+07,1.5000000000000000e+07,0.0000000000000000e+00,
"2019","12.2009.","12.2009.00.00.00.","4.2.4.01.","01","02","PBP","Pengadaan Smartphone","Unit",8.0000000000000000e+00,1.3000000000000000e+06,1.0400000000000000e+07,8.0000000000000000e+00,1.3000000000000000e+06,1.0400000000000000e+07,0.0000000000000000e+00,
"2019","12.2009.","12.2009.00.00.00.","4.2.4.01.","01","03","PBP","Batuan Pulsa 8 Smartphone","Unit/Bulan",4.8000000000000000e+01,5.0000000000000000e+04,2.4000000000000000e+06,4.8000000000000000e+01,5.0000000000000000e+04,2.4000000000000000e+06,0.0000000000000000e+00,
"2019","12.2009.","12.2009.00.00.00.","4.2.4.01.","01","04","PBP","Infrastruktur Desa","Ls",1.0000000000000000e+00,9.9488000000000000e+07,9.9488000000000000e+07,1.0000000000000000e+00,9.9488000000000000e+07,9.9488000000000000e+07,0.0000000000000000e+00,
