Tahun,Kd_Desa,Jn_Aturan,Kd_Posting,Nama_Desa,No_Peraturan,Tgl_Peraturan,Nama_Kades,Jbt_Kades,Nama_Sekdes,Jbt_Sekdes,No_Lembaran,Tgl_Diundangkan,Lokasi_Desa
"2019","12.2009.","1","2","  CIGELAM","08","12/28/18 00:00:00","Suningrat","Kepala Desa","Talam Erawan","Sekretaris Desa","08a","12/28/18 00:00:00","Cigelam"
"2019","12.2009.","2","2","  CIGELAM","09","12/31/18 00:00:00","Suningrat","Kepala Desa","Talam Erawan","Sekretaris Desa","09a","12/31/18 00:00:00","Cigelam"
