ID_Tujuan,Kd_Desa,ID_Misi,No_Tujuan,Uraian_Tujuan
"12.2009.010201","12.2009.","12.2009.0102","01","Meningkatkan Kualitas SDM dimasa yang akan datang"
"12.2009.010101","12.2009.","12.2009.0101","01","Menambah Penghasilan Tetap bagi Perangkat Desa"
