KdPosting,KURincianSD,Tahun,Sifat,SumberDana,Kd_Desa,Kd_Keg,Kd_Rincian,Anggaran,AnggaranPAK,Jan,Peb,Mar,Apr,Mei,Jun,Jul,Agt,Sep,Okt,Nop,Des,KunciData
"2","12.2009.01.01.01.5.1.1.02.01PBPAWAL","2019","AWAL","PBP","12.2009.","12.2009.01.01.01.","5.1.1.02.",3.0000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"2","12.2009.01.01.02.5.1.2.01.01ADDAWAL","2019","AWAL","ADD","12.2009.","12.2009.01.01.02.","5.1.2.01.",1.7580000000000000e+08,0.0000000000000000e+00,1.4650000000000000e+07,1.4650000000000000e+07,1.4650000000000000e+07,1.4650000000000000e+07,1.4650000000000000e+07,1.4650000000000000e+07,1.4650000000000000e+07,1.4650000000000000e+07,1.4650000000000000e+07,1.4650000000000000e+07,1.4650000000000000e+07,1.4650000000000000e+07,1.0000000000000000e+00
"2","12.2009.01.01.02.5.1.2.02.01PBPAWAL","2019","AWAL","PBP","12.2009.","12.2009.01.01.02.","5.1.2.02.",1.2000000000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2000000000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"2","12.2009.01.01.04.5.2.1.01.01PBHAWAL","2019","AWAL","PBH","12.2009.","12.2009.01.01.04.","5.2.1.01.",5.6853320000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.6853320000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"2","12.2009.01.01.04.5.2.1.09.01PBHAWAL","2019","AWAL","PBH","12.2009.","12.2009.01.01.04.","5.2.1.09.",3.3000000000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.3000000000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"2","12.2009.01.01.04.5.2.2.01.01PBHAWAL","2019","AWAL","PBH","12.2009.","12.2009.01.01.04.","5.2.2.01.",1.0800000000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0800000000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"2","12.2009.01.01.04.5.2.5.01.01PBHAWAL","2019","AWAL","PBH","12.2009.","12.2009.01.01.04.","5.2.5.01.",4.2000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.2000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"2","12.2009.01.01.05.5.1.4.01.01ADDAWAL","2019","AWAL","ADD","12.2009.","12.2009.01.01.05.","5.1.4.01.",6.0000000000000000e+07,0.0000000000000000e+00,5.0000000000000000e+06,5.0000000000000000e+06,5.0000000000000000e+06,5.0000000000000000e+06,5.0000000000000000e+06,5.0000000000000000e+06,5.0000000000000000e+06,5.0000000000000000e+06,5.0000000000000000e+06,5.0000000000000000e+06,5.0000000000000000e+06,5.0000000000000000e+06,1.0000000000000000e+00
"2","12.2009.01.01.06.5.2.1.01.01PBHAWAL","2019","AWAL","PBH","12.2009.","12.2009.01.01.06.","5.2.1.01.",3.5500000000000000e+05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.5500000000000000e+05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"2","12.2009.01.01.06.5.2.1.09.01PBHAWAL","2019","AWAL","PBH","12.2009.","12.2009.01.01.06.","5.2.1.09.",1.6450000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6450000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
