Tahun,Kd_Desa,Kd_Rincian,Jenis,Anggaran,Debet,Kredit,Tgl_Bukti
"2019","12.2009.","1.1.1.02.","NERACA",0.0000000000000000e+00,1.2282780000000000e+06,0.0000000000000000e+00,"01/01/19 00:00:00"
"2019","12.2009.","3.1.1.01.","NERACA",0.0000000000000000e+00,0.0000000000000000e+00,1.2282780000000000e+06,"01/01/19 00:00:00"
