UserID,Kd_Kec,Kd_Desa
"ãÊÙÍÏ™˜ÐÚÆá","04","04.2002."
"ÖÒÏÓÈ¡™ÐÞÎå","04","04.2003."
"ßÒÛËÈ“£ÚÓ×Ü","04","04.2004."
"ÚÊÛÈÂ¥ ÓÛ","04","04.2005."
"ÖÒáÉÌ¡","04","04.2006."
"ßÒâÒÈ™¦ÕçÓÚ","04","04.2007."
"åÊäÅÔ“£Ð","04","04.2008."
"Ô××ÙÏ","04","04.2009."
"æÒÛÈÂ ˜ÚÓ×Ü","04","04.2010."
"ÕÊÏÅÌ“ŸÚÓ×Ü","04","04.2011."
"ÚÊÛÈÂŸ–ÒÓ×","04","04.2012."
"ÖÒáÉÌ¡œÈÞÊå","04","04.2013."
"ãÊÚÓÚ“ŸÈà","04","04.2014."
"æÎÚÔÖ¤","04","04.2015."
"ÖÒÏÓÈ¡˜ÐäÆáÚ","04","04.2016."
"æÞØÅÕ“ŸÐ","05","05.2001."
"àÊÙÅÏ™ŸÌàÌÔÛ","05","05.2002."
"ÖÒÙÅÍ“¨Ð","05","05.2003."
"æÞØÅÎ“›Ü","05","05.2004."
"ÖÒÝÍÄ§ŸÎ","05","05.2005."
"ÖÒÎÒÕ›ŸÎçÙÔåÊ","05","05.2006."
"ÖÒÎÒÕ›ŸÎ","05","05.2007."
"ãÊàÍÓŸ¦ÕÜÚß","05","05.2008."
"çÊ×ÙÓ¥šÕÖÆáÚ","05","05.2009."
"ÖÒÏÓÅ“¤","05","05.2010."
"ÖÒ×ÅÏ¦¦ÕÙ","05","05.2011."
"æÞØÅË“ªÈ","05","05.2012."
"ãÊÛÝÊ •ÈàÌÔá","05","05.2013."
"æÒÛÈÂ ˜ÓÓÞÔ","05","05.2014."
"×ÊßÅÏ™•Èà","06","06.2001."
"×ÎÝÓÌ","06","06.2002."
"ÖÒÙÍÏ™˜È","06","06.2003."
"áÊÛËÆ©–Ù","06","06.2004."
"àÎØÅÓ¥’ÙÛ","06","06.2005."
"ßÒÛËÈ“¤ÈäÎ","06","06.2006."
"æÊäÍÕ","06","06.2007."
"ßÒÛËÈ“žÜÝÙÜ","06","06.2008."
"ÚÞÛÙÏ™™ÌÜÔ","06","06.2009."
"ãÊàÍÓ“ŸÎÛÓ","06","06.2010."
"ßÎÔÓÌ¥’ÙÛ","06","06.2011."
"æÒßÒÂŸ’ÕÓÍ","06","06.2012."
"æÊÑÅÓ’ÙëÆ","06","06.2013."
"áÎÔÐÂ¥’ÙÛ","06","06.2014."
"áÊÔÖÂ","06","06.2015."
"ÚÞÛÙÏ™œÈäÚáÚ","07","07.2001."
"ÖÒáÅÎ›’ÕÙ","07","07.2002."
"æÒÛÅÓ™’ÓÛÍ","07","07.2003."
"çÎÔÅÍ–’ÛÓ×","07","07.2004."
"ÖÒ×ÅÕ›","07","07.2005."
"ÖÒßÅÎ“™ÐÞÎå","07","07.2006."
"æÞØÅÎ§œÛÛ","07","07.2007."
"ãÊàÍÓœ’ÔÔÚ","07","07.2008."
"ÕÊáÙÕ§ž×ÓÓÚ","08","08.2001."
"ÖÒáÅÍ“ŸÎ","08","08.2002."
"çÎÔÅÍ©’Ùç","08","08.2003."
"çÎÔÅÍ¥’ÙÛ","08","08.2004."
"êÊßÙÏ™›ÌäÚÞ","08","08.2005."
"ÚÊÙÙÎ¢šÛ","08","08.2006."
"æÞØÅÉ“›Ð","08","08.2007."
"ÞÊßÓÚ“","08","08.2008."
"ÖÊÑÅÔ¥’ÙÛ","08","08.2009."
"ÖÊÑÅÔŸ–ÒÓ×","08","08.2010."
"ÖÒàÅÓ§’","08","08.2011."
"æÞØÅÎ§àÓ","08","08.2012."
"êÊÛÅÚ“¤È","09","09.2001."
"æÞØÅÅ“žÐ","09","09.2002."
"êÊÛÅÔ“£Ð","09","09.2003."
"æÒÚÔÂ ˜","09","09.2004."
"áÊÔÖÐ™","09","09.2005."
"ÖÒÏÙÏ¦¦","09","09.2006."
"ÕÊÏÅÌ“Ÿ","09","09.2007."
"áÊÛËÆ¤’ÕÙ","09","09.2008."
