Tahun,Kd_Desa,No_SPP,Kd_Keg,Kd_Rincian,Kd_SubRinci,Sumberdana,Nilai
"2019","12.2009.","0011/SPP/12.2009/2019","12.2009.01.01.90","5.2.2.05.","01","ADD",1.0000000000000000e+06
"2019","12.2009.","0012/SPP/12.2009/2019","12.2009.01.01.91","5.2.2.99.","01","ADD",6.0000000000000000e+06
"2019","12.2009.","0013/SPP/12.2009/2019","12.2009.01.01.01.","5.1.1.01.","01","ADD",2.7000000000000000e+06
"2019","12.2009.","0013/SPP/12.2009/2019","12.2009.01.01.01.","5.1.1.02.","01","ADD",1.8000000000000000e+06
"2019","12.2009.","0014/SPP/12.2009/2019","12.2009.01.01.02.","5.1.2.01.","01","ADD",1.4650000000000000e+07
"2019","12.2009.","0015/SPP/12.2009/2019","12.2009.01.01.05.","5.1.4.01.","01","ADD",5.0000000000000000e+06
"2019","12.2009.","0016/SPP/12.2009/2019","12.2009.01.01.07.","5.2.2.90.","01","ADD",2.4400000000000000e+07
"2019","12.2009.","0017/SPP/12.2009/2019","12.2009.01.01.90","5.2.2.05.","01","ADD",1.0000000000000000e+06
"2019","12.2009.","0018/SPP/12.2009/2019","12.2009.01.01.91","5.2.2.99.","01","ADD",6.0000000000000000e+06
"2019","12.2009.","0019/SPP/12.2009/2019","12.2009.01.01.01.","5.1.1.01.","01","ADD",2.7000000000000000e+06
"2019","12.2009.","0019/SPP/12.2009/2019","12.2009.01.01.01.","5.1.1.02.","01","ADD",1.8000000000000000e+06
"2019","12.2009.","0020/SPP/12.2009/2019","12.2009.01.01.02.","5.1.2.01.","01","ADD",1.4650000000000000e+07
"2019","12.2009.","0021/SPP/12.2009/2019","12.2009.01.01.05.","5.1.4.01.","01","ADD",5.0000000000000000e+06
"2019","12.2009.","0022/SPP/12.2009/2019","12.2009.01.01.07.","5.2.2.90.","01","ADD",2.4400000000000000e+07
"2019","12.2009.","0023/SPP/12.2009/2019","12.2009.01.01.90","5.2.2.05.","01","ADD",1.0000000000000000e+06
"2019","12.2009.","0024/SPP/12.2009/2019","12.2009.01.01.91","5.2.2.99.","01","ADD",6.0000000000000000e+06
"2019","12.2009.","0025/SPP/12.2009/2019","12.2009.02.02.04.","5.3.3.02.","01","PBH",1.9988377000000000e+08
"2019","12.2009.","0025/SPP/12.2009/2019","12.2009.02.02.04.","5.3.3.01.","01","PBH",1.2000000000000000e+06
"2019","12.2009.","0026/SPP/12.2009/2019","12.2009.01.01.04.","5.2.1.01.","01","PBH",5.6853320000000000e+06
"2019","12.2009.","0026/SPP/12.2009/2019","12.2009.01.01.04.","5.2.1.09.","01","PBH",3.3000000000000000e+07
"2019","12.2009.","0026/SPP/12.2009/2019","12.2009.01.01.04.","5.2.2.01.","01","PBH",1.0800000000000000e+07
"2019","12.2009.","0026/SPP/12.2009/2019","12.2009.01.01.04.","5.2.5.01.","01","PBH",4.2000000000000000e+06
"2019","12.2009.","0027/SPP/12.2009/2019","12.2009.01.01.06.","5.2.1.01.","01","PBH",3.5500000000000000e+05
"2019","12.2009.","0027/SPP/12.2009/2019","12.2009.01.01.06.","5.2.1.09.","01","PBH",1.6450000000000000e+06
"2019","12.2009.","0028/SPP/12.2009/2019","12.2009.01.02.01.","5.3.2.02.","01","PBH",4.6000000000000000e+07
"2019","12.2009.","0050/SPP/12.2009/2019","12.2009.03.02.03.","5.2.1.07.","01","PBH",1.5000000000000000e+06
"2019","12.2009.","0050/SPP/12.2009/2019","12.2009.03.02.03.","5.2.1.08.","01","PBH",1.0000000000000000e+06
"2019","12.2009.","0050/SPP/12.2009/2019","12.2009.03.02.03.","5.2.1.09.","01","PBH",4.2500000000000000e+06
"2019","12.2009.","0050/SPP/12.2009/2019","12.2009.03.02.03.","5.2.1.91.","01","PBH",3.5000000000000000e+06
"2019","12.2009.","0050/SPP/12.2009/2019","12.2009.03.02.03.","5.2.4.03.","01","PBH",1.0000000000000000e+06
"2019","12.2009.","0050/SPP/12.2009/2019","12.2009.03.02.03.","5.2.7.01.","01","PBH",3.7500000000000000e+06
