KdPosting,Tahun,Kd_Desa,Kd_Keg,Kd_Rincian,Kd_SubRinci,No_Urut,Uraian,SumberDana,JmlSatuan,HrgSatuan,Satuan,Anggaran,JmlSatuanPAK,HrgSatuanPAK,AnggaranStlhPAK,AnggaranPAK
"2","2019","12.2009.","12.2009.03.04.90","5.2.2.99.","01","01","Honorarium Majlis Ulama Indonesia Desa","ADD",1.0000000000000000e+00,2.5000000000000000e+06,"Paket",2.5000000000000000e+06,1.0000000000000000e+00,2.5000000000000000e+06,2.5000000000000000e+06,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.01.01.91","5.2.2.99.","01","01","Honorarium Anggota Perlindungan Masyarakat (15Org)","ADD",1.8000000000000000e+02,4.0000000000000000e+05,"OB",7.2000000000000000e+07,1.8000000000000000e+02,4.0000000000000000e+05,7.2000000000000000e+07,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.03.02.03.","5.2.1.07.","01","01","Dongdang","PBH",1.0000000000000000e+00,1.5000000000000000e+06,"Paket",1.5000000000000000e+06,1.0000000000000000e+00,1.5000000000000000e+06,1.5000000000000000e+06,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.03.02.03.","5.2.1.08.","01","01","Spanduk","PBH",1.0000000000000000e+00,2.5000000000000000e+05,"Buah",2.5000000000000000e+05,1.0000000000000000e+00,2.5000000000000000e+05,2.5000000000000000e+05,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.03.02.03.","5.2.1.08.","01","02","Umbul-umbul","PBH",5.0000000000000000e+00,1.5000000000000000e+05,"Buah",7.5000000000000000e+05,5.0000000000000000e+00,1.5000000000000000e+05,7.5000000000000000e+05,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.05.03.01.","5.4.1.01.","01","01","Bantuan Transportasi Orang Sakit","PAD",1.0000000000000000e+00,1.0000000000000000e+06,"Tahun",1.0000000000000000e+06,1.0000000000000000e+00,1.0000000000000000e+06,1.0000000000000000e+06,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.00.00.00.","4.2.4.01.","01","01","Tunjangan Penghasilan Aparatur Pemerintah Desa","PBP",1.0000000000000000e+00,1.5000000000000000e+07,"Tahun",1.5000000000000000e+07,1.0000000000000000e+00,1.5000000000000000e+07,1.5000000000000000e+07,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.00.00.00.","4.2.4.01.","01","02","Pengadaan Smartphone","PBP",8.0000000000000000e+00,1.3000000000000000e+06,"Unit",1.0400000000000000e+07,8.0000000000000000e+00,1.3000000000000000e+06,1.0400000000000000e+07,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.00.00.00.","4.2.4.01.","01","03","Batuan Pulsa 8 Smartphone","PBP",4.8000000000000000e+01,5.0000000000000000e+04,"Unit/Bulan",2.4000000000000000e+06,4.8000000000000000e+01,5.0000000000000000e+04,2.4000000000000000e+06,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.00.00.00.","4.2.4.01.","01","04","Infrastruktur Desa","PBP",1.0000000000000000e+00,9.9488000000000000e+07,"Ls",9.9488000000000000e+07,1.0000000000000000e+00,9.9488000000000000e+07,9.9488000000000000e+07,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.01.01.01.","5.1.1.02.","01","02","Tunjangan Penghasilan Kepala Desa (1 Org)","PBP",1.0000000000000000e+00,3.0000000000000000e+06,"OB",3.0000000000000000e+06,1.0000000000000000e+00,3.0000000000000000e+06,3.0000000000000000e+06,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.01.01.02.","5.1.2.02.","01","01","Sekretaris Desa (1 Org)","PBP",1.0000000000000000e+00,1.6500000000000000e+06,"OB",1.6500000000000000e+06,1.0000000000000000e+00,1.6500000000000000e+06,1.6500000000000000e+06,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.01.01.02.","5.1.2.02.","01","02","Kepala Seksi (3 Org)","PBP",3.0000000000000000e+00,1.3000000000000000e+06,"OB",3.9000000000000000e+06,3.0000000000000000e+00,1.3000000000000000e+06,3.9000000000000000e+06,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.01.01.02.","5.1.2.02.","01","03","Kepala Urusan (3 Org)","PBP",3.0000000000000000e+00,1.2500000000000000e+06,"OB",3.7500000000000000e+06,3.0000000000000000e+00,1.2500000000000000e+06,3.7500000000000000e+06,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.01.01.02.","5.1.2.02.","01","04","Kepala Dusun (3 Org)","PBP",3.0000000000000000e+00,9.0000000000000000e+05,"OB",2.7000000000000000e+06,3.0000000000000000e+00,9.0000000000000000e+05,2.7000000000000000e+06,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.00.00.00.","4.2.1.01.","01","01","Dana Desa","DDS",1.0000000000000000e+00,8.3955340000000000e+08,"Tahun",8.3955340000000000e+08,1.0000000000000000e+00,8.3955340000000000e+08,8.3955340000000000e+08,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.00.00.00.","6.2.2.01.","01","01","Tambah Modal BUMDes","DDS",1.0000000000000000e+00,4.0000000000000000e+07,"Ls",4.0000000000000000e+07,1.0000000000000000e+00,4.0000000000000000e+07,4.0000000000000000e+07,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.01.01.07.","5.3.2.02.","01","01","Smartphone","PBP",8.0000000000000000e+00,1.3000000000000000e+06,"Unit",1.0400000000000000e+07,8.0000000000000000e+00,1.3000000000000000e+06,1.0400000000000000e+07,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.02.06.03.","5.2.5.05.","01","01","Pulsa 8 Smartphone","PBP",4.8000000000000000e+01,5.0000000000000000e+04,"OB",2.4000000000000000e+06,4.8000000000000000e+01,5.0000000000000000e+04,2.4000000000000000e+06,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.02.03.11.","5.3.5.04.","01","01","Sewa Mesin Molen","DDS",6.3000000000000000e+01,4.0000000000000000e+05,"huk",2.5200000000000000e+07,6.3000000000000000e+01,4.0000000000000000e+05,2.5200000000000000e+07,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.02.03.11.","5.3.5.04.","01","02","Jasa Angkut Material","DDS",7.6000000000000000e+01,1.0000000000000000e+05,"huk",7.6000000000000000e+06,7.6000000000000000e+01,1.0000000000000000e+05,7.6000000000000000e+06,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.02.03.14.","5.3.5.01.","01","08","Kertas HVS","DDS",1.0000000000000000e+00,6.0000000000000000e+04,"rim",6.0000000000000000e+04,1.0000000000000000e+00,6.0000000000000000e+04,6.0000000000000000e+04,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.02.03.14.","5.3.5.01.","01","09","Tinta Printer","DDS",1.0000000000000000e+00,1.2000000000000000e+05,"botol",1.2000000000000000e+05,1.0000000000000000e+00,1.2000000000000000e+05,1.2000000000000000e+05,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.02.03.14.","5.3.5.01.","01","10","Map","DDS",1.2000000000000000e+01,2.5000000000000000e+03,"buah",3.0000000000000000e+04,1.2000000000000000e+01,2.5000000000000000e+03,3.0000000000000000e+04,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.02.03.14.","5.3.5.01.","01","11","Ballpoint","DDS",1.0000000000000000e+00,3.0500000000000000e+04,"pak",3.0500000000000000e+04,1.0000000000000000e+00,3.0500000000000000e+04,3.0500000000000000e+04,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.02.03.14.","5.3.5.01.","01","12","Materai 6.000","DDS",6.0000000000000000e+00,7.0000000000000000e+03,"buah",4.2000000000000000e+04,6.0000000000000000e+00,7.0000000000000000e+03,4.2000000000000000e+04,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.02.03.99.","5.3.4.02.","01","01","Pekerja (3 org X 20 hari)","PBP",6.0000000000000000e+01,5.0000000000000000e+04,"hok",3.0000000000000000e+06,6.0000000000000000e+01,5.0000000000000000e+04,3.0000000000000000e+06,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.02.03.99.","5.3.4.02.","01","02","Tukang (2 Org X 20 hari)","PBP",4.0000000000000000e+01,1.0000000000000000e+05,"hok",4.0000000000000000e+06,4.0000000000000000e+01,1.0000000000000000e+05,4.0000000000000000e+06,0.0000000000000000e+00
