KdRek4,KdRek5,Nama_Rincian
"3.02.02.03.","3.02.02.03.002.","Kereta Makan"
"3.02.02.03.","3.02.02.03.003.","Power Car"
"3.02.02.03.","3.02.02.03.004.","Gerbong Barang Tertutup"
"3.02.02.03.","3.02.02.03.005.","Gerbong Barang Terbuka"
"3.02.02.03.","3.02.02.03.999.","Alat Angkutan Kereta Rel Tak Bermotor Lainnya"
"3.02.02.99.","3.02.02.99.999.","Alat Angkutan Darat Tak Bermotor Lainnya"
"3.02.03.01.","3.02.03.01.001.","Kapal Minyak (Tanker)"
"3.02.03.01.","3.02.03.01.002.","Tongkang Bermotor"
"3.02.03.01.","3.02.03.01.003.","Tug Boat + Attachment"
"3.02.03.01.","3.02.03.01.004.","Landing Ship Transportation( L.S.T )"
"3.02.03.01.","3.02.03.01.005.","Kapal Cargo (Kapal Barang)"
"3.02.03.01.","3.02.03.01.006.","Truck Air"
"3.02.03.01.","3.02.03.01.999.","Alat Angkutan Apung Bermotor Untuk Barang Lainnya"
"3.02.03.02.","3.02.03.02.001.","Speed Boat / Motor Tempel"
"3.02.03.02.","3.02.03.02.002.","Motor Boat"
"3.02.03.02.","3.02.03.02.003.","Klotok"
"3.02.03.02.","3.02.03.02.004.","Ferry"
"3.02.03.02.","3.02.03.02.005.","Hidrofoil"
"3.02.03.02.","3.02.03.02.006.","Jetfoil"
"3.02.03.02.","3.02.03.02.007.","Long Boat"
"3.02.03.02.","3.02.03.02.008.","Kapal Passanger (Kapal Penumpang)"
"3.02.03.02.","3.02.03.02.009.","Perahu Kayu"
"3.02.03.02.","3.02.03.02.999.","Alat Angkutan Apung Bermotor Untuk Penumpang Lainnya"
"3.02.03.03.","3.02.03.03.001.","Survey Boat"
"3.02.03.03.","3.02.03.03.002.","Kapal Anti Polusi"
"3.02.03.03.","3.02.03.03.003.","Kapal Perambuan"
"3.02.03.03.","3.02.03.03.004.","Out Boat Motor"
"3.02.03.03.","3.02.03.03.005.","Kapal Hydrografi"
"3.02.03.03.","3.02.03.03.006.","Kapal Unit Penerangan Air"
"3.02.03.03.","3.02.03.03.007.","Kapal Visual Mini"
"3.02.03.03.","3.02.03.03.008.","Kapal Penangkap Ikan"
"3.02.03.03.","3.02.03.03.009.","Kapal Pengangkut Hewan"
"3.02.03.03.","3.02.03.03.010.","Kapal Patroli Pantai"
"3.02.03.03.","3.02.03.03.011.","Kapal Motor Perpustakaan Keliling"
"3.02.03.03.","3.02.03.03.012.","Floating Work Shop/Dock"
"3.02.03.03.","3.02.03.03.013.","Moring Boat/Kepil"
"3.02.03.03.","3.02.03.03.014.","Suction Dredger/Keruk Hisap"
"3.02.03.03.","3.02.03.03.015.","Qutter Dredger/Keruk Bor"
"3.02.03.03.","3.02.03.03.016.","Bucket Dredger/Keruk Timba"
"3.02.03.03.","3.02.03.03.017.","Clampshel Dredger/Keruk Cakram"
"3.02.03.03.","3.02.03.03.018.","Alat Angkutan Apung Untuk Mancing"
"3.02.03.03.","3.02.03.03.019.","Floating Pile + Attachment (Alat Angkutan Apung Bermotor Khusus)"
"3.02.03.03.","3.02.03.03.020.","Sekoci Motor Tempel"
"3.02.03.03.","3.02.03.03.021.","Perahu Motor Tempel"
"3.02.03.03.","3.02.03.03.022.","Kapal Oseanografi"
"3.02.03.03.","3.02.03.03.023.","Perahu Tradisional"
"3.02.03.03.","3.02.03.03.024.","Sea Rider"
"3.02.03.03.","3.02.03.03.025.","Hover Craft"
"3.02.03.03.","3.02.03.03.026.","Kapal Pengangkut Ikan"
"3.02.03.03.","3.02.03.03.027.","Kapal Pengolah Ikan"
"3.02.03.03.","3.02.03.03.028.","Kapal Penelitian/ Eksplorasi Perikanan"
"3.02.03.03.","3.02.03.03.029.","Kapal Pendukung Operasi Penangkapan Ikan"
"3.02.03.03.","3.02.03.03.030.","Kapal Pendukung Operasi Pembudidayaan Ikan"
"3.02.03.03.","3.02.03.03.031.","Kapal Pengawas Perikanan"
"3.02.03.03.","3.02.03.03.032.","Perahu Intai 3 orang"
"3.02.03.03.","3.02.03.03.033.","Perahu Serbu 15 orang"
"3.02.03.03.","3.02.03.03.034.","Kapal Patroli Polisi"
"3.02.03.03.","3.02.03.03.035.","Jet Sky"
"3.02.03.03.","3.02.03.03.999.","Alat Angkutan Apung Bermotor Khusus Lainnya"
"3.02.03.99.","3.02.03.99.999.","Alat Angkutan Apung Bermotor Lainnya"
"3.02.04.01.","3.02.04.01.001.","Tongkang"
"3.02.04.01.","3.02.04.01.002.","Perahu Barang"
"3.02.04.01.","3.02.04.01.999.","Alat Angkutan Apung Tak Bermotor Untuk Barang Lainnya"
"3.02.04.02.","3.02.04.02.001.","Perahu Penumpang"
"3.02.04.02.","3.02.04.02.002.","Perahu Penyeberangan"
"3.02.04.02.","3.02.04.02.999.","Alat Angkutan Apung Tak Bermotor Untuk Penumpang Lainnya"
"3.02.04.03.","3.02.04.03.001.","Ponton"
"3.02.04.03.","3.02.04.03.002.","Perahu Karet (Alat Angkutan Apung Tak Bermotor Khusus)"
"3.02.04.03.","3.02.04.03.003.","Ponton Rumah"
"3.02.04.03.","3.02.04.03.004.","Floating Platform/Rakit"
"3.02.04.03.","3.02.04.03.999.","Alat Angkutan Apung Tak Bermotor Khusus Lainnya"
"3.02.04.99.","3.02.04.99.999.","Alat Angkutan Apung Tak Bermotor Lainnya"
"3.03.01.01.","3.03.01.01.001.","Mesin Bubut"
"3.03.01.01.","3.03.01.01.002.","Mesin Frais"
"3.03.01.01.","3.03.01.01.003.","Mesin Ketam (Perkakas Konstruksi Logam Terpasang Pada Pondasi)"
"3.03.01.01.","3.03.01.01.004.","Mesin Press Hidrolik & Punch"
"3.03.01.01.","3.03.01.01.005.","Mesin Bor"
"3.03.01.01.","3.03.01.01.006.","Mesin Gergaji Logam"
"3.03.01.01.","3.03.01.01.007.","Mesin Gerinda"
"3.03.01.01.","3.03.01.01.008.","Mesin Rol"
"3.03.01.01.","3.03.01.01.009.","Mesin Bor Cylinder"
"3.03.01.01.","3.03.01.01.010.","Mesin Skrup"
"3.03.01.01.","3.03.01.01.011.","Mesin Meiling"
"3.03.01.01.","3.03.01.01.012.","Mesin Purel"
"3.03.01.01.","3.03.01.01.013.","Mesin Perapen"
"3.03.01.01.","3.03.01.01.014.","Mesin Sikat Kulit"
"3.03.01.01.","3.03.01.01.015.","Mesin Pemotong Kulit"
"3.03.01.01.","3.03.01.01.016.","Mesin Jahit Kulit"
"3.03.01.01.","3.03.01.01.017.","Mesin Pengepres Kulit"
"3.03.01.01.","3.03.01.01.018.","Mesin Kompresor"
"3.03.01.01.","3.03.01.01.019.","Mesin Las Listrik"
"3.03.01.01.","3.03.01.01.020.","Mesin Dynamo Kron"
"3.03.01.01.","3.03.01.01.021.","Mesin Sikat Besi Kron"
"3.03.01.01.","3.03.01.01.022.","Mesin Pemotong Fiberglas/Poliyster"
"3.03.01.01.","3.03.01.01.023.","Mesin Gulung Listrik"
"3.03.01.01.","3.03.01.01.024.","Mesin Pelubang (Perkakas Konstruksi Logam Terpasang Pada Pondasi)"
"3.03.01.01.","3.03.01.01.025.","Mesin Penekuk/Lipat Plat"
"3.03.01.01.","3.03.01.01.026.","Mesin Gunting Plat"
"3.03.01.01.","3.03.01.01.027.","Mesin Pembengkok Uni"
"3.03.01.01.","3.03.01.01.028.","Mesin Amplas Plat"
"3.03.01.01.","3.03.01.01.029.","Mesin Pemotong Plat"
"3.03.01.01.","3.03.01.01.030.","Mesin Transmission Automotive"
"3.03.01.01.","3.03.01.01.031.","Mesin Pembengkok Logam"
"3.03.01.01.","3.03.01.01.032.","Mesin Crystal Growing"
"3.03.01.01.","3.03.01.01.033.","Mesin Laser Cutting"
"3.03.01.01.","3.03.01.01.034.","Mesin Laser Welding"
"3.03.01.01.","3.03.01.01.035.","Mesin Lipat Plat"
"3.03.01.01.","3.03.01.01.036.","Mesin Briket"
"3.03.01.01.","3.03.01.01.037.","Univ. Grinder Seting Valve"
"3.03.01.01.","3.03.01.01.038.","Univ. Grinder Valve Repair"
"3.03.01.01.","3.03.01.01.039.","Mesin Serut"
"3.03.01.01.","3.03.01.01.040.","Mesin Profile Kayu"
"3.03.01.01.","3.03.01.01.999.","Perkakas Konstruksi Logam Terpasang Pada Pondasi Lainnya"
"3.03.01.02.","3.03.01.02.001.","Mesin Gerinda Tangan"
"3.03.01.02.","3.03.01.02.002.","Mesin Bor Tangan"
"3.03.01.02.","3.03.01.02.003.","Mesin Cylinder"
"3.03.01.02.","3.03.01.02.004.","Riveting Machine"
"3.03.01.02.","3.03.01.02.005.","Mesin Gulung Manual"
"3.03.01.02.","3.03.01.02.006.","Mesin Ampelas Tangan"
"3.03.01.02.","3.03.01.02.007.","Mesin Ampelas Rol Kecil"
"3.03.01.02.","3.03.01.02.008.","Mesin Gergaji Besi"
"3.03.01.02.","3.03.01.02.999.","Perkakas Konstruksi Logam Yang Transportable (Berpindah) Lainnya"
"3.03.01.03.","3.03.01.03.001.","Battery Charge"
"3.03.01.03.","3.03.01.03.002.","Winder"
"3.03.01.03.","3.03.01.03.003.","Transformator"
"3.03.01.03.","3.03.01.03.004.","Solder Listrik"
"3.03.01.03.","3.03.01.03.005.","Sedotan Timah Listrik"
"3.03.01.03.","3.03.01.03.006.","Electrical Discharge"
"3.03.01.03.","3.03.01.03.007.","Vertical machining Centre"
"3.03.01.03.","3.03.01.03.008.","Copy Milling"
"3.03.01.03.","3.03.01.03.009.","Surface Grinding Proth"
"3.03.01.03.","3.03.01.03.010.","Cydrical Grinder Yam"
"3.03.01.03.","3.03.01.03.011.","Capacity Die Casting"
"3.03.01.03.","3.03.01.03.012.","Hmc Cintinati Milacron"
"3.03.01.03.","3.03.01.03.013.","Engine Cylinder Research Engine"
"3.03.01.03.","3.03.01.03.014.","Valve Sensor"
"3.03.01.03.","3.03.01.03.015.","Coordinate Measuring Machines"
"3.03.01.03.","3.03.01.03.016.","Engine Cooling System"
"3.03.01.03.","3.03.01.03.017.","Outlet Manifodld Pressure"
"3.03.01.03.","3.03.01.03.018.","Impulse Orbital Welder"
"3.03.01.03.","3.03.01.03.019.","AVL DIGAS"
"3.03.01.03.","3.03.01.03.020.","Electric Wire Rope"
"3.03.01.03.","3.03.01.03.021.","Steam Pressure Gauge"
"3.03.01.03.","3.03.01.03.022.","Savetuy Valve"
"3.03.01.03.","3.03.01.03.023.","Tresher Statis"
"3.03.01.03.","3.03.01.03.024.","Variac"
"3.03.01.03.","3.03.01.03.025.","Mixer (Perkakas Bengkel Listrik)"
"3.03.01.03.","3.03.01.03.026.","Stepping Motor"
"3.03.01.03.","3.03.01.03.027.","Cylinder Pressure Tranducer"
"3.03.01.03.","3.03.01.03.028.","Engine Simulation Software Package"
"3.03.01.03.","3.03.01.03.029.","Axhaust Gas Analizer"
"3.03.01.03.","3.03.01.03.030.","Circular Saw"
"3.03.01.03.","3.03.01.03.031.","Tester Listrik/Telepon/Internet"
"3.03.01.03.","3.03.01.03.999.","Perkakas Bengkel Listrik Lainnya (Alat Bengkel Bermesin)"
"3.03.01.04.","3.03.01.04.001.","Auto Lift"
"3.03.01.04.","3.03.01.04.002.","Car Washer"
"3.03.01.04.","3.03.01.04.003.","Steam Cleaner"
"3.03.01.04.","3.03.01.04.004.","Lubriacating Equipment"
"3.03.01.04.","3.03.01.04.005.","Mesin Spooring"
"3.03.01.04.","3.03.01.04.006.","Mesin Balancer"
"3.03.01.04.","3.03.01.04.007.","Brake Drum Lathe/Mesin Perata Tromol"
"3.03.01.04.","3.03.01.04.008.","Pengasah Lubang Stang Piston"
"3.03.01.04.","3.03.01.04.009.","Lubricating Set (Perkakas Bengkel Service)"
"3.03.01.04.","3.03.01.04.010.","Air Filter Regulator"
"3.03.01.04.","3.03.01.04.011.","Diamond Care Drill Care"
"3.03.01.04.","3.03.01.04.012.","AC Motor Control"
"3.03.01.04.","3.03.01.04.999.","Perkakas Bengkel Service Lainnya (Alat Bengkel Bermesin)"
"3.03.01.05.","3.03.01.05.001.","Overhead Crane"
"3.03.01.05.","3.03.01.05.002.","Hoist"
"3.03.01.05.","3.03.01.05.003.","Winch/LIR"
"3.03.01.05.","3.03.01.05.999.","Perkakas Pengangkat Bermesin Lainnya"
"3.03.01.06.","3.03.01.06.001.","Mesin Gergaji"
"3.03.01.06.","3.03.01.06.002.","Mesin Ketam (Perkakas Bengkel Kayu)"
"3.03.01.06.","3.03.01.06.003.","Mesin Bor Kayu"
"3.03.01.06.","3.03.01.06.004.","Mesin Penghalus"
"3.03.01.06.","3.03.01.06.005.","Tatah Listrik Oscar MK 361"
"3.03.01.06.","3.03.01.06.006.","Pasah Listrik MKC"
"3.03.01.06.","3.03.01.06.007.","Profile Listrik MKC"
"3.03.01.06.","3.03.01.06.008.","Grendo Duduk"
"3.03.01.06.","3.03.01.06.009.","Gergaji Bengkok ATS"
"3.03.01.06.","3.03.01.06.010.","Amplas Listrik GMT"
"3.03.01.06.","3.03.01.06.011.","Gergaji Chain Saw"
"3.03.01.06.","3.03.01.06.012.","Table Saw 10 Eastco"
"3.03.01.06.","3.03.01.06.999.","Perkakas Bengkel Kayu Lainnya"
"3.03.01.07.","3.03.01.07.001.","Mesin Jahit Terpal"
"3.03.01.07.","3.03.01.07.002.","Perkakas Vulkanisir Ban"
"3.03.01.07.","3.03.01.07.003.","Perkakas Bongkar/Pasang Ban"
"3.03.01.07.","3.03.01.07.004.","Mesin Tenun Tekstil"
"3.03.01.07.","3.03.01.07.005.","Mesin Celup (Perkakas Bengkel Khusus)"
"3.03.01.07.","3.03.01.07.006.","Pemasang Baru"
"3.03.01.07.","3.03.01.07.007.","Mesin Tenun Jahit"
"3.03.01.07.","3.03.01.07.999.","Perkakas Bengkel Khusus Lainnya"
"3.03.01.08.","3.03.01.08.001.","Peralatan Las Listrik"
"3.03.01.08.","3.03.01.08.002.","Peralatan Las Karbit"
"3.03.01.08.","3.03.01.08.003.","Peralatan Las Gas"
"3.03.01.08.","3.03.01.08.999.","Peralatan Las Lainnya"
"3.03.01.99.","3.03.01.99.999.","Alat Bengkel Bermesin Lainnya"
"3.03.02.01.","3.03.02.01.001.","Perkakas Dapur Tempa"
"3.03.02.01.","3.03.02.01.002.","Perkakas Bangku Kerja"
"3.03.02.01.","3.03.02.01.003.","Perkakas Pengukur"
"3.03.02.01.","3.03.02.01.004.","Perkakas Pengecoran Logam"
"3.03.02.01.","3.03.02.01.005.","ROL"
"3.03.02.01.","3.03.02.01.006.","Perkakas Pemotong Plat"
"3.03.02.01.","3.03.02.01.007.","Perkakas Press Hidrolik"
"3.03.02.01.","3.03.02.01.008.","Perkakas Pemotong Kabel Sling"
"3.03.02.01.","3.03.02.01.009.","Perkakas Pengecatan Kendaraan"
"3.03.02.01.","3.03.02.01.999.","Perkakas Bengkel Konstruksi Logam Lainnya"
"3.03.02.02.","3.03.02.02.001.","Armature Drying Oven"
"3.03.02.02.","3.03.02.02.002.","Mica Undercutter"
"3.03.02.02.","3.03.02.02.003.","Commutator Turning Tool"
"3.03.02.02.","3.03.02.02.004.","Armature Crowler"
"3.03.02.02.","3.03.02.02.005.","Solid State Soldering Gun"
"3.03.02.02.","3.03.02.02.999.","Perkakas Bengkel Listrik Lainnya (Alat Bengkel Tak Bermesin)"
"3.03.02.03.","3.03.02.03.001.","Perkakas Bengkel Service"
"3.03.02.03.","3.03.02.03.002.","Lubricating Set (Perkakas Bengkel Service)"
"3.03.02.03.","3.03.02.03.003.","Perlengkapan Bengkel Mekanik"
"3.03.02.03.","3.03.02.03.004.","Jembatan Service Hidrolik"
"3.03.02.03.","3.03.02.03.999.","Perkakas Bengkel Service Lainnya (Alat Bengkel Tak Bermesin)"
"3.03.02.04.","3.03.02.04.001.","Dongkrak Mekanik"
"3.03.02.04.","3.03.02.04.002.","Dongkrak Hidrolik"
"3.03.02.04.","3.03.02.04.003.","TAKEL"
"3.03.02.04.","3.03.02.04.004.","GANTRY"
"3.03.02.04.","3.03.02.04.005.","TRIPOD"
"3.03.02.04.","3.03.02.04.006.","Floor Crane"
"3.03.02.04.","3.03.02.04.999.","Perkakas Pengangkat Lainnya"
"3.03.02.05.","3.03.02.05.001.","Tool Kit Set"
"3.03.02.05.","3.03.02.05.002.","Tool Kit Box"
"3.03.02.05.","3.03.02.05.003.","Tool Cabinet Set"
"3.03.02.05.","3.03.02.05.004.","Kunci Pipa"
"3.03.02.05.","3.03.02.05.005.","Puller Set"
"3.03.02.05.","3.03.02.05.006.","Tap Dies"
"3.03.02.05.","3.03.02.05.007.","Greeper"
"3.03.02.05.","3.03.02.05.008.","Engine Stand"
"3.03.02.05.","3.03.02.05.009.","Kunci Moment"
"3.03.02.05.","3.03.02.05.010.","Pembuat Fisik (DIESS)"
"3.03.02.05.","3.03.02.05.011.","Tungku Non Ferrous"
"3.03.02.05.","3.03.02.05.012.","Wheel Chock (Perkakas Standard (standard Tools))"
"3.03.02.05.","3.03.02.05.013.","Maintenance Step"
"3.03.02.05.","3.03.02.05.014.","Crimping Tolls"
"3.03.02.05.","3.03.02.05.015.","Toolkit Tukang Kayu Ton"
"3.03.02.05.","3.03.02.05.016.","Toolkit Tukang Batu Ton"
"3.03.02.05.","3.03.02.05.017.","Toolkit Tukang Listrik"
"3.03.02.05.","3.03.02.05.018.","Toolkit Pemeliharaan"
"3.03.02.05.","3.03.02.05.019.","Toolkit Perbengkelan"
"3.03.02.05.","3.03.02.05.020.","Toolkit Perpipaan"
"3.03.02.05.","3.03.02.05.021.","Tool Outfit Pioner Electric"
"3.03.02.05.","3.03.02.05.022.","Tool General Mechanic Set"
"3.03.02.05.","3.03.02.05.023.","Toolkit Tukang Besi"
"3.03.02.05.","3.03.02.05.024.","Tool Electrical Set"
"3.03.02.05.","3.03.02.05.025.","Sawmil"
"3.03.02.05.","3.03.02.05.026.","Unit Pelumas Portable"
"3.03.02.05.","3.03.02.05.027.","Scafolding Set & Tool"
"3.03.02.05.","3.03.02.05.028.","Hand Fallet"
"3.03.02.05.","3.03.02.05.029.","Paron"
"3.03.02.05.","3.03.02.05.030.","Cylinder Bearing"
"3.03.02.05.","3.03.02.05.031.","Perlengkapan Bengkel Pengecatan"
"3.03.02.05.","3.03.02.05.999.","Perkakas Standard (Standard Tools) Lainnya"
"3.03.02.06.","3.03.02.06.001.","Kunci Khusus Untuk Engine"
"3.03.02.06.","3.03.02.06.002.","Kunci Khusus Alat Besar Darat"
"3.03.02.06.","3.03.02.06.003.","Kunci Khusus Alat Besar Apung"
"3.03.02.06.","3.03.02.06.004.","Kunci Khusus Casis Alat Angkut Darat"
"3.03.02.06.","3.03.02.06.005.","Kunci Khusus Casis"
"3.03.02.06.","3.03.02.06.006.","Kunci Khusus Alat Angkut Apung"
"3.03.02.06.","3.03.02.06.007.","Kunci Khusus Pembuka Mur/Baut"
"3.03.02.06.","3.03.02.06.008.","Kunci Khusus Moment"
"3.03.02.06.","3.03.02.06.009.","Kunci Khusus Alat Besar Udara"
"3.03.02.06.","3.03.02.06.010.","Kunci Khusus Casis Alat Besar Udara"
"3.03.02.06.","3.03.02.06.011.","Digital Tang Ampere"
"3.03.02.06.","3.03.02.06.012.","Digital Tachometer"
"3.03.02.06.","3.03.02.06.013.","Foot Klep"
"3.03.02.06.","3.03.02.06.014.","Cincin/Kopling Slang Hydrant"
"3.03.02.06.","3.03.02.06.015.","Kunci L"
"3.03.02.06.","3.03.02.06.016.","TBA"
"3.03.02.06.","3.03.02.06.999.","Perkakas Khusus (Special Tools) Lainnya"
"3.03.02.07.","3.03.02.07.001.","Gergaji"
"3.03.02.07.","3.03.02.07.002.","Ketam"
"3.03.02.07.","3.03.02.07.003.","Bor"
"3.03.02.07.","3.03.02.07.004.","Pahat"
"3.03.02.07.","3.03.02.07.005.","Kakak Tua"
"3.03.02.07.","3.03.02.07.006.","Water Pas"
"3.03.02.07.","3.03.02.07.007.","Siku"
"3.03.02.07.","3.03.02.07.008.","Palu"
"3.03.02.07.","3.03.02.07.999.","Perkakas Bengkel Kerja Lainnya"
"3.03.02.08.","3.03.02.08.001.","Tanggem"
"3.03.02.08.","3.03.02.08.002.","Gunting Plat"
"3.03.02.08.","3.03.02.08.003.","Landasan Kenteng"
"3.03.02.08.","3.03.02.08.004.","Kunci Kaul"
"3.03.02.08.","3.03.02.08.005.","Gunting Plat Tangan"
"3.03.02.08.","3.03.02.08.006.","Tang Kombinasi"
"3.03.02.08.","3.03.02.08.007.","Tang Potong"
"3.03.02.08.","3.03.02.08.008.","Betel, Seter, Drip, Dreg, Sneper"
"3.03.02.08.","3.03.02.08.009.","Pukul Konde"
"3.03.02.08.","3.03.02.08.010.","Pukul Lengkung"
"3.03.02.08.","3.03.02.08.011.","Pukul Sabit"
"3.03.02.08.","3.03.02.08.012.","Kikir"
"3.03.02.08.","3.03.02.08.013.","Kunci Pas"
"3.03.02.08.","3.03.02.08.014.","Tang Senai & Tap"
"3.03.02.08.","3.03.02.08.015.","Drei Biasa (Obeng)"
"3.03.02.08.","3.03.02.08.016.","Drei Kembang (Obeng)"
"3.03.02.08.","3.03.02.08.017.","Drei Ketok (Obeng)"
"3.03.02.08.","3.03.02.08.018.","Seket Mat"
"3.03.02.08.","3.03.02.08.019.","Jangka Besi"
"3.03.02.08.","3.03.02.08.020.","Kunci Stang"
"3.03.02.08.","3.03.02.08.999.","Peralatan Tukang Besi Lainnya"
"3.03.02.09.","3.03.02.09.001.","Tatah Biasa"
"3.03.02.09.","3.03.02.09.002.","Tatah Lengkung"
"3.03.02.09.","3.03.02.09.003.","Kaota"
"3.03.02.09.","3.03.02.09.004.","Petel"
"3.03.02.09.","3.03.02.09.005.","Patar"
"3.03.02.09.","3.03.02.09.006.","Bor Engkol"
"3.03.02.09.","3.03.02.09.007.","Perlengkapan Bengkel Kayu"
"3.03.02.09.","3.03.02.09.999.","Peralatan Tukang Kayu Lainnya"
"3.03.02.10.","3.03.02.10.001.","Pisau Kulit"
"3.03.02.10.","3.03.02.10.002.","Pandokan Sepatu"
"3.03.02.10.","3.03.02.10.003.","Lis Sepatu"
"3.03.02.10.","3.03.02.10.004.","Cokro"
"3.03.02.10.","3.03.02.10.005.","Plong Kulit"
"3.03.02.10.","3.03.02.10.006.","Catut"
"3.03.02.10.","3.03.02.10.007.","Pukul Sepatu"
"3.03.02.10.","3.03.02.10.008.","Gunting Kulit"
"3.03.02.10.","3.03.02.10.009.","Gunting Kain"
"3.03.02.10.","3.03.02.10.010.","Drek Mata Ayam"
"3.03.02.10.","3.03.02.10.012.","Uncek"
"3.03.02.10.","3.03.02.10.999.","Peralatan Tukang Kulit Lainnya"
"3.03.02.11.","3.03.02.11.001.","Dipan Ukur"
"3.03.02.11.","3.03.02.11.002.","Meteran Kain"
"3.03.02.11.","3.03.02.11.003.","Rol Meter"
"3.03.02.11.","3.03.02.11.004.","Jangka Berkaki"
"3.03.02.11.","3.03.02.11.005.","Patar Gip"
"3.03.02.11.","3.03.02.11.006.","Pisau Gip"
"3.03.02.11.","3.03.02.11.007.","Pararel Bar"
"3.03.02.11.","3.03.02.11.008.","Cermin Besar"
"3.03.02.11.","3.03.02.11.009.","Tangga Latihan"
"3.03.02.11.","3.03.02.11.010.","Trap Latihan"
"3.03.02.11.","3.03.02.11.999.","Peralatan Ukur, Gip & Feting Lainnya"
"3.03.02.12.","3.03.02.12.001.","Mesin CNC"
"3.03.02.12.","3.03.02.12.002.","Dynamo Tungku"
"3.03.02.12.","3.03.02.12.003.","Mesin Frais"
"3.03.02.12.","3.03.02.12.004.","Mesin Skraf"
"3.03.02.12.","3.03.02.12.005.","Mesin Bor Meja / Kaki Listrik"
"3.03.02.12.","3.03.02.12.006.","Palu Besar"
"3.03.02.12.","3.03.02.12.007.","Mesin Korter"
"3.03.02.12.","3.03.02.12.008.","Palu Kecil"
"3.03.02.12.","3.03.02.12.009.","Mesin Gerinda Duduk (Bench Gerinda)"
"3.03.02.12.","3.03.02.12.010.","Gegep Pemotong Kuku"
"3.03.02.12.","3.03.02.12.011.","Gegep Pemotong Paku"
"3.03.02.12.","3.03.02.12.012.","Pisau Renet"
"3.03.02.12.","3.03.02.12.013.","Mesin Jahit Terpal"
"3.03.02.12.","3.03.02.12.014.","Pelobang Tapel"
"3.03.02.12.","3.03.02.12.015.","Tang Buaya"
"3.03.02.12.","3.03.02.12.016.","Mesin Battery Set / Pengisi Accu"
"3.03.02.12.","3.03.02.12.017.","Peralatan Bengkel Lainnya"
"3.03.02.12.","3.03.02.12.018.","Mesin Blower Listrik / Mekanik"
"3.03.02.12.","3.03.02.12.019.","Mesin Sikat / Brush Machine"
"3.03.02.12.","3.03.02.12.020.","Mesin Pembuka Ban"
"3.03.02.12.","3.03.02.12.021.","Mesin Slep Kruk As"
"3.03.02.12.","3.03.02.12.022.","Mesin Asah Silider Cop"
"3.03.02.12.","3.03.02.12.023.","Mesin Gulung Spool"
"3.03.02.12.","3.03.02.12.024.","Mesin Gulung Plat"
"3.03.02.12.","3.03.02.12.025.","Mesin Pompa air PMK"
"3.03.02.12.","3.03.02.12.026.","Mesin Asah Klep"
"3.03.02.12.","3.03.02.12.027.","Mesin Tusuk / Stik"
"3.03.02.12.","3.03.02.12.028.","Mesin Bor Listrik Tangan"
"3.03.02.12.","3.03.02.12.029.","Mesin Nimbling"
"3.03.02.12.","3.03.02.12.030.","Mesin Gerinda tangan Listrik"
"3.03.02.12.","3.03.02.12.031.","Mesin Potong plat bentuk / hand nimbler"
"3.03.02.12.","3.03.02.12.032.","Unit Cat"
"3.03.02.12.","3.03.02.12.033.","Cut Off Saw"
"3.03.02.12.","3.03.02.12.034.","Mesin Analisa System"
"3.03.02.12.","3.03.02.12.035.","Blender Las Potong"
"3.03.02.12.","3.03.02.12.036.","Mesin Cuci kendaraan/ Car Washer"
"3.03.02.12.","3.03.02.12.037.","Perkakas AC"
"3.03.02.12.","3.03.02.12.999.","Peralatan Bengkel Khusus Peladam Lainnya"
"3.03.02.99.","3.03.02.99.999.","Alat Bengkel Tak Bermesin Lainnya"
"3.03.03.01.","3.03.03.01.001.","Af Generator Tone Generator"
"3.03.03.01.","3.03.03.01.002.","Audio Signal Source"
"3.03.03.01.","3.03.03.01.003.","Audio Test Set"
"3.03.03.01.","3.03.03.01.004.","Audio Morse & Distributor Meter"
"3.03.03.01.","3.03.03.01.005.","Audio Sweep Osilator"
"3.03.03.01.","3.03.03.01.006.","VTVM Volt"
"3.03.03.01.","3.03.03.01.007.","Independence Meter"
"3.03.03.01.","3.03.03.01.008.","Decible Meter"
"3.03.03.01.","3.03.03.01.009.","Crt Tester"
"3.03.03.01.","3.03.03.01.010.","Circuit Tester (Alat Ukur Universal)"
"3.03.03.01.","3.03.03.01.011.","Electronic Capasitor Tester"
"3.03.03.01.","3.03.03.01.012.","Illumino Meter"
"3.03.03.01.","3.03.03.01.013.","IC Tester Semi Test IV"
"3.03.03.01.","3.03.03.01.014.","IC Meter"
"3.03.03.01.","3.03.03.01.015.","Mihvolt Meter"
"3.03.03.01.","3.03.03.01.016.","Multitester & Accessorie"
"3.03.03.01.","3.03.03.01.017.","Multisester Digital"
"3.03.03.01.","3.03.03.01.018.","Photo Illumination Meter"
"3.03.03.01.","3.03.03.01.019.","Transistor Tester Semitest I"
"3.03.03.01.","3.03.03.01.020.","Transistor Tester Semitest II"
"3.03.03.01.","3.03.03.01.021.","Transistor Tester Semitest V"
"3.03.03.01.","3.03.03.01.022.","Transistor Tester AVO"
"3.03.03.01.","3.03.03.01.023.","Volt Meter Elektronik"
"3.03.03.01.","3.03.03.01.024.","Volt Meter Digital"
"3.03.03.01.","3.03.03.01.025.","Volt Meter Higt Tension"
"3.03.03.01.","3.03.03.01.026.","Widw Band Level Meter"
"3.03.03.01.","3.03.03.01.027.","Automatic Distrotion Meter"
